date,open,high,low,close,volume,vwap
2023-06-04,27078.27,27466.83,26958.98,27122.04,9360912318,27156.53
2023-06-05,27122.03,27137.75,25391.43,25741.5,21513292646,26348.1775
2023-06-06,25741.5,27368.67,25351.92,27243.63,21929670693,26426.43
2023-06-07,27243.45,27402.79,26121.06,26346.41,19530045082,26778.4275
2023-06-08,26347.09,26820.3,26212.63,26508.32,11904824295,26472.085
2023-06-09,26505.71,26780.4,26283.5,26482.81,11015551640,26513.105
2023-06-10,26482.8,26534.95,25385.52,25856.1,19872933189,26064.8425
2023-06-11,25856.1,26219.1,25648,25937.02,10732609603,25915.055
2023-06-12,25936.98,26108.64,25616.98,25905.82,11677889997,25892.105
2023-06-13,25905.99,26435.81,25710.78,25930.23,14143474486,25995.7025
2023-06-14,25929.35,26090,24821,25123.34,14265717766,25490.9225
2023-06-15,25123.41,25749.99,24750,25569.99,15837384409,25298.3475
2023-06-16,25569.99,26486.56,25143.24,26329.6,16324646965,25882.3475
2023-06-17,26329.6,26783.2,26165.98,26506.56,11090276850,26446.335
